computer/connectors/connector-db25.svg: unknown SVG attribute 'collect' (line 50, column 4)
computer/connectors/connector-db25.svg: unknown SVG attribute 'collect' (line 51, column 4)
computer/connectors/connector-db9.svg: unknown SVG attribute 'collect' (line 50, column 4)
computer/connectors/connector-db9.svg: unknown SVG attribute 'collect' (line 51, column 4)
computer/connectors/connector-ps2.svg: unknown SVG attribute 'collect' (line 50, column 4)
computer/connectors/connector-ps2.svg: unknown SVG attribute 'collect' (line 51, column 4)
computer/connectors/connector-usb-type-a.svg: unknown SVG attribute 'collect' (line 50, column 4)
computer/connectors/connector-usb-type-a.svg: unknown SVG attribute 'collect' (line 55, column 4)
computer/connectors/connector-usb-type-b.svg: unknown SVG attribute 'collect' (line 50, column 4)
computer/connectors/connector-usb-type-b.svg: unknown SVG attribute 'collect' (line 55, column 4)
computer/hardware/mouse_scroll_fco._andrad_01.svg: unknown SVG attribute 'space' (line 86, column 4)
computer/hardware/mouse_scroll_fco._andrad_01.svg: unknown SVG attribute 'space' (line 89, column 4)
computer/hardware/various_servers_01.svg: unknown SVG attribute 'space' (line 150, column 2)
computer/hardware/digital-camera_aj_ashton_01.svg: unknown SVG element 'textpath' (line 233, column 843)
computer/hardware/digital-camera_aj_ashton_01.svg: unknown SVG element 'textpath' (line 234, column 809)
computer/hardware/flat_screen_gino_rivera_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/hardware/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 46, column 4)
computer/hardware/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 50, column 4)
computer/hardware/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 59, column 4)
computer/hardware/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 63, column 4)
computer/hardware/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 68, column 4)
computer/hardware/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 47, column 4)
computer/hardware/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 51, column 4)
computer/hardware/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 60, column 4)
computer/hardware/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 64, column 4)
computer/hardware/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 69, column 4)
computer/hardware/handheld_gps_gerald_g._01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/hardware/schermo_macintosh_archit_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/hardware/stampante_architetto_fra_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/hardware/unita_disco_rigido_archi_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/icons/button_01.svg: unknown SVG attribute 'space' (line 55, column 2)
computer/icons/button_01.svg: unknown SVG attribute 'space' (line 58, column 2)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 75, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 76, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 77, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 78, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 79, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 80, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 81, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 82, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 83, column 4)
computer/icons/emule_01.svg: unknown SVG attribute 'collect' (line 84, column 4)
computer/icons/otto_01.svg: unknown SVG attribute 'date' (line 51, column 2)
computer/icons/otto_01.svg: unknown SVG attribute 'nick' (line 51, column 2)
computer/icons/otto_01.svg: unknown SVG element 'author' (line 51, column 2)
computer/icons/otto_01.svg: unknown SVG attribute 'space' (line 177, column 2)
computer/icons/otto_01.svg: unknown SVG attribute 'space' (line 180, column 2)
computer/icons/otto_01.svg: unknown SVG attribute 'space' (line 183, column 2)
computer/icons/collection_of_passport__01.svg: unknown SVG attribute 'space' (line 2, column 102)
computer/icons/fancy_red_button_matt_to_01.svg: unknown SVG attribute 'space' (line 2, column 102)
computer/icons/shield_matt_todd_01.svg: unknown SVG attribute 'space' (line 2, column 102)
computer/icons/revconnect_logo_bruno_ri_01.svg: unknown SVG attribute 'space' (line 4, column 59)
computer/icons/shield_matt_todd_02.svg: unknown SVG attribute 'space' (line 2, column 102)
computer/icons/stylized_cd_jakob_chaosi_.svg: unknown SVG attribute 'space' (line 2, column 102)
computer/icons/hotel_icon_24_hour_room_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_air_conditio_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_airport_shut_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_barber_or_ha_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_bar_or_loung_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_bus_stop_gera_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_casino_gerald_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_collection_b_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_collection_i_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_collection_i_02.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_concierge_ger_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_cycling_geral_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_dishwasher_ge_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_email_access_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_gift_and_boo_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_golf_course_g_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_grocery_stor_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_gym_gerald_g._01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_indoor_parki_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_indoor_pool_g_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_in_room_bagg_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_in_room_coff_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_in_room_emai_01.svg: unknown SVG attribute 'space' (line 2, column 94)
